log2FoldChange,baseMean,padj,position,bin,product,gene,domain,phylum,class,order,family,genus,species
0.915017501,7.354413696,0.012253517,NODE_1936_length_18614_cov_77.118487_pgaptmp_000697,201007_15_DNA_mat_1_top_bin.34,protein translocase subunit SecD,secD,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-2.19747936,10.15509603,4.05E-18,NODE_360_length_43358_cov_74.219731_pgaptmp_001561,201007_15_DNA_mat_1_top_bin.34,chlorophyllide a reductase subunit Z,bchZ,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-1.975361572,12.36674954,7.53E-06,NODE_360_length_43358_cov_74.219731_pgaptmp_001563,201007_15_DNA_mat_1_top_bin.34,chlorophyllide a reductase iron protein subunit X,NA,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-2.525869962,17.14230982,3.15E-12,NODE_360_length_43358_cov_74.219731_pgaptmp_001556,201007_15_DNA_mat_1_top_bin.34,photosynthetic reaction center subunit M,pufM,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-2.701651016,14.55679016,6.99E-13,NODE_360_length_43358_cov_74.219731_pgaptmp_001557,201007_15_DNA_mat_1_top_bin.34,photosynthetic reaction center subunit L,pufL,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-2.222756467,7.175703523,8.11E-07,NODE_360_length_43358_cov_74.219731_pgaptmp_001562,201007_15_DNA_mat_1_top_bin.34,chlorophyllide a reductase subunit Y,bchY,Bacteria,Proteobacteria,Gammaproteobacteria,XJ16,Halofilaceae,Halofilum,NA
-0.341561803,361.8186857,0.000419927,NODE_18_length_162778_cov_234.777727_pgaptmp_000279,201005_11_DNA_2_bin.20,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,gatA,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,NA,NA
0.426361136,121.4739684,0.001184925,NODE_2371_length_11063_cov_4.915789_pgaptmp_000646,201005_12_DNA_2_bin.27,3-hydroxyacyl-CoA dehydrogenase family protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.638264154,125.5707229,4.42E-09,NODE_14036_length_3071_cov_4.990053_pgaptmp_000322,201005_12_DNA_2_bin.27,50S ribosomal protein L10,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.670815628,71.65409606,3.29E-06,NODE_2371_length_11063_cov_4.915789_pgaptmp_000647,201005_12_DNA_2_bin.27,phenylacetate-CoA oxygenase subunit PaaI,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-0.345687443,141.2289934,0.007579471,NODE_15188_length_2896_cov_4.450194_pgaptmp_000425,201005_12_DNA_2_bin.27,MFS transporter,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-0.504877873,138.108701,4.37E-07,NODE_2944_length_9641_cov_4.358961_pgaptmp_000806,201005_12_DNA_2_bin.27,ABC transporter ATP-binding protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.564587322,68.33771054,0.005499876,NODE_11611_length_3543_cov_4.901950_pgaptmp_000183,201005_12_DNA_2_bin.27,30S ribosomal protein S2,rpsB,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-0.300289011,123.9041979,0.036472642,NODE_15188_length_2896_cov_4.450194_pgaptmp_000427,201005_12_DNA_2_bin.27,superoxide dismutase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.762946772,59.64187506,0.001056057,NODE_6685_length_5325_cov_4.983681_pgaptmp_001527,201005_12_DNA_2_bin.27,DEAD/DEAH box helicase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.71384936,25.72226866,0.037357738,NODE_13018_length_3252_cov_5.316234_pgaptmp_000271,201005_12_DNA_2_bin.27,50S ribosomal protein L14,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.615810661,58.74471605,2.84E-05,NODE_10170_length_3905_cov_5.187273_pgaptmp_000025,201005_12_DNA_2_bin.27,PHP domain-containing protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.708897587,26.49048613,0.000472796,NODE_2532_length_10660_cov_4.647619_pgaptmp_000717,201005_12_DNA_2_bin.27,metal-sulfur cluster assembly factor,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-0.392118934,50.60544735,0.042389999,NODE_2325_length_11202_cov_4.080201_pgaptmp_000640,201005_12_DNA_2_bin.27,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-0.717007342,34.43551603,0.002191872,NODE_10323_length_3863_cov_4.640756_pgaptmp_000044,201005_12_DNA_2_bin.27,UbiD family decarboxylase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-0.477368339,47.25357456,0.001184925,NODE_2944_length_9641_cov_4.358961_pgaptmp_000807,201005_12_DNA_2_bin.27,substrate-binding domain-containing protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
0.880307449,17.46391945,0.017156474,NODE_14645_length_2975_cov_4.132877_pgaptmp_000371,201005_12_DNA_2_bin.27,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-0.450541113,36.6868325,0.037357738,NODE_6779_length_5267_cov_5.328856_pgaptmp_001554,201005_12_DNA_2_bin.27,substrate-binding domain-containing protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
1.03810922,12.67768772,0.009976504,NODE_2532_length_10660_cov_4.647619_pgaptmp_000716,201005_12_DNA_2_bin.27,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-1.212659777,6.403631079,0.003024558,NODE_7200_length_5037_cov_4.612204_pgaptmp_001610,201005_12_DNA_2_bin.27,ABC transporter substrate-binding protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
1.691598882,2.43489949,0.035313063,NODE_9354_length_4157_cov_4.306436_pgaptmp_001914,201005_12_DNA_2_bin.27,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-1.162674874,12.07269737,0.006884548,NODE_2944_length_9641_cov_4.358961_pgaptmp_000809,201005_12_DNA_2_bin.27,cupin domain-containing protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-1.512654981,2.666286348,0.035313063,NODE_14085_length_3063_cov_4.711436_pgaptmp_000334,201005_12_DNA_2_bin.27,amidohydrolase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
2.02869757,3.47302388,0.009976504,NODE_8105_length_4626_cov_5.109166_pgaptmp_001744,201005_12_DNA_2_bin.27,SAM-dependent methyltransferase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-1.624396958,2.123504193,0.001876686,NODE_2944_length_9641_cov_4.358961_pgaptmp_000814,201005_12_DNA_2_bin.27,MFS transporter,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
-1.679406971,2.14680518,0.010520453,NODE_4949_length_6619_cov_5.280926_pgaptmp_001200,201005_12_DNA_2_bin.27,MFS transporter,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,NA,NA
1.648520655,53.52187939,0.000855736,NODE_4862_length_10011_cov_43.638208_pgaptmp_001875,201005_12_DNA_mat_2_bin.38,fasciclin domain-containing protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
0.800885363,55.70905355,0.002989219,NODE_152_length_58950_cov_41.724136_pgaptmp_000644,201005_12_DNA_mat_2_bin.38,adenosylhomocysteinase,ahcY,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.367320137,135.6474182,0.027752083,NODE_324_length_42073_cov_32.898353_pgaptmp_001285,201005_12_DNA_mat_2_bin.38,SusC/RagA family TonB-linked outer membrane protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
0.712370811,40.77113477,1.32E-05,NODE_1261_length_22353_cov_47.782985_pgaptmp_000303,201005_12_DNA_mat_2_bin.38,hypothetical protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
2.339429764,20.94878374,1.10E-09,NODE_1261_length_22353_cov_47.782985_pgaptmp_000318,201005_12_DNA_mat_2_bin.38,fasciclin domain-containing protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.439688807,40.65364894,0.040629425,NODE_659_length_30664_cov_31.387402_pgaptmp_002283,201005_12_DNA_mat_2_bin.38,DUF3471 domain-containing protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
1.87136738,11.93481711,0.000527631,NODE_168_length_57241_cov_46.059682_pgaptmp_000768,201005_12_DNA_mat_2_bin.38,bacteriorhodopsin-like,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.428315411,51.77301264,0.040277147,NODE_179_length_55501_cov_39.061790_pgaptmp_000934,201005_12_DNA_mat_2_bin.38,SusC/RagA family TonB-linked outer membrane protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
1.172754324,11.13498315,0.008038393,NODE_173_length_56549_cov_42.182356_pgaptmp_000866,201005_12_DNA_mat_2_bin.38,peptide-methionine (S)-S-oxide reductase MsrA,msrA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
0.850980393,15.76575601,0.020184532,NODE_12_length_158856_cov_44.564266_pgaptmp_000484,201005_12_DNA_mat_2_bin.38,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.958269591,16.94930294,0.000485863,NODE_1522_length_20284_cov_39.822334_pgaptmp_000618,201005_12_DNA_mat_2_bin.38,SusC/RagA family TonB-linked outer membrane protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.420119792,26.72374268,0.040629425,NODE_90_length_74678_cov_35.234097_pgaptmp_002680,201005_12_DNA_mat_2_bin.38,MotA/TolQ/ExbB proton channel family protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
1.325116125,7.175618012,0.031773602,NODE_93_length_72565_cov_46.548366_pgaptmp_002791,201005_12_DNA_mat_2_bin.38,efflux RND transporter permease subunit,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
2.109757882,4.391853017,0.018995943,NODE_35_length_102630_cov_42.868701_pgaptmp_001438,201005_12_DNA_mat_2_bin.38,PAS domain S-box protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
1.819440142,4.627635175,0.01244868,NODE_208_length_51323_cov_32.048217_pgaptmp_001045,201005_12_DNA_mat_2_bin.38,sigma 54-interacting transcriptional regulator,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
1.876483006,3.126833357,0.013077636,NODE_1059_length_24458_cov_47.232226_pgaptmp_000133,201005_12_DNA_mat_2_bin.38,glutathione peroxidase,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
2.146741708,3.416786785,0.013077636,NODE_581_length_32533_cov_38.671378_pgaptmp_002048,201005_12_DNA_mat_2_bin.38,imidazoleglycerol-phosphate dehydratase HisB,hisB,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
1.225048124,4.274591544,0.013843098,NODE_35_length_102630_cov_42.868701_pgaptmp_001440,201005_12_DNA_mat_2_bin.38,acyl-CoA dehydrogenase,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.933626103,12.25242327,0.013077636,NODE_152_length_58950_cov_41.724136_pgaptmp_000637,201005_12_DNA_mat_2_bin.38,RagB/SusD family nutrient uptake outer membrane protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.736883535,16.40802639,0.003802797,NODE_69_length_83271_cov_34.570635_pgaptmp_002472,201005_12_DNA_mat_2_bin.38,TonB-dependent receptor,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.732857317,8.069846569,0.040629425,NODE_468_length_35477_cov_33.391508_pgaptmp_001827,201005_12_DNA_mat_2_bin.38,UPF0182 family protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
1.57340171,1.94100362,0.040277147,NODE_36_length_100391_cov_35.696450_pgaptmp_001517,201005_12_DNA_mat_2_bin.38,sterol desaturase family protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-0.874262085,6.542275125,0.029715147,NODE_64_length_84664_cov_42.032491_pgaptmp_002214,201005_12_DNA_mat_2_bin.38,SusC/RagA family TonB-linked outer membrane protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
-1.324947537,7.171883686,0.001546675,NODE_61_length_86144_cov_44.913578_pgaptmp_002070,201005_12_DNA_mat_2_bin.38,Bor family protein,NA,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,NA
0.239080084,385.3010094,0.003619709,NODE_2736_length_12704_cov_15.563997_pgaptmp_000901,201005_11_DNA_2_bin.76,exodeoxyribonuclease III,NA,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,NA,NA
0.394826778,850.8949505,0.001094682,NODE_803_length_28470_cov_16.437128_pgaptmp_001871,201005_11_DNA_2_bin.76,DUF2723 domain-containing protein,NA,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,NA,NA
0.391364749,178.3453297,0.006822505,NODE_2397_length_13993_cov_15.595997_pgaptmp_000767,201005_11_DNA_2_bin.76,acyl-CoA dehydrogenase family protein,NA,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,NA,NA
1.505346513,35.80526691,0.000321165,NODE_2397_length_13993_cov_15.595997_pgaptmp_000774,201005_11_DNA_2_bin.76,bacteriorhodopsin-like,NA,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,NA,NA
-0.716458077,12.2293181,0.039183647,NODE_6551_length_6594_cov_17.921242_pgaptmp_001656,201005_11_DNA_2_bin.76,hypothetical protein,NA,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,NA,NA
-0.960728821,7.659055214,0.020293817,NODE_1645_length_17983_cov_16.438588_pgaptmp_000365,201005_11_DNA_2_bin.76,phenylacetic acid degradation bifunctional protein PaaZ,paaZ,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,NA,NA
-1.120937362,2.924143414,0.022968336,NODE_7683_length_5842_cov_14.447036_pgaptmp_001835,201005_11_DNA_2_bin.76,MarR family transcriptional regulator,NA,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,NA,NA
-0.474225994,401.935098,1.11E-08,NODE_262_length_33838_cov_78.507711_pgaptmp_001269,201005_12_DNA_sed_2_bin.11,aconitate hydratase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.252531235,264.1494436,0.012301024,NODE_88_length_47625_cov_70.038070_pgaptmp_002756,201005_12_DNA_sed_2_bin.11,(2Fe-2S)-binding protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.518031185,147.7977036,0.001084949,NODE_1540_length_16160_cov_72.459298_pgaptmp_000543,201005_12_DNA_sed_2_bin.11,isocitrate lyase,aceA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.692272454,284.602079,1.64E-16,NODE_26_length_67727_cov_76.082767_pgaptmp_001367,201005_12_DNA_sed_2_bin.11,MoaD/ThiS family protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.258598064,107.8363377,0.04214298,NODE_25778_length_3239_cov_73.947550_pgaptmp_001250,201005_12_DNA_sed_2_bin.11,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.386008843,163.8134137,0.000227546,NODE_18484_length_3987_cov_73.043235_pgaptmp_000829,201005_12_DNA_sed_2_bin.11,ribonuclease P,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.633522283,30.15088403,0.025653564,NODE_706_length_22718_cov_69.983012_pgaptmp_002425,201005_12_DNA_sed_2_bin.11,glutamate synthase large subunit,gltB,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.619562461,35.28285987,0.003494886,NODE_474_length_26438_cov_72.848349_pgaptmp_001996,201005_12_DNA_sed_2_bin.11,bacteriorhodopsin,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.323016619,58.5973641,0.04267995,NODE_2637_length_12412_cov_71.540989_pgaptmp_001302,201005_12_DNA_sed_2_bin.11,transcription initiation factor IIB 2,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.492353393,51.0254708,0.009987207,NODE_4934_length_8856_cov_72.421543_pgaptmp_002019,201005_12_DNA_sed_2_bin.11,transposase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.359721169,64.82557439,0.01064397,NODE_2964_length_11681_cov_53.940220_pgaptmp_001492,201005_12_DNA_sed_2_bin.11,histidine phosphatase family protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.423791614,47.53089198,0.010345794,NODE_7950_length_6686_cov_66.047655_pgaptmp_002617,201005_12_DNA_sed_2_bin.11,2-oxoacid:acceptor oxidoreductase subunit alpha,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.480498977,38.15091673,0.012356853,NODE_174_length_38480_cov_80.341783_pgaptmp_000731,201005_12_DNA_sed_2_bin.11,DNA-directed RNA polymerase subunit N,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.558458385,45.40278206,0.000853913,NODE_13845_length_4756_cov_70.903850_pgaptmp_000449,201005_12_DNA_sed_2_bin.11,anaerobic glycerol-3-phosphate dehydrogenase subunit C,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.56155972,43.20520201,0.000834405,NODE_13845_length_4756_cov_70.903850_pgaptmp_000450,201005_12_DNA_sed_2_bin.11,glycerol kinase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.505687096,44.00555465,0.000889989,NODE_227_length_35136_cov_74.517203_pgaptmp_001075,201005_12_DNA_sed_2_bin.11,amidohydrolase family protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.708603106,36.99572589,0.003494886,NODE_456_length_26789_cov_72.970038_pgaptmp_001940,201005_12_DNA_sed_2_bin.11,electron transfer flavoprotein subunit alpha/FixB family protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.605250013,23.32003608,0.04267995,NODE_513_length_25701_cov_67.064766_pgaptmp_002031,201005_12_DNA_sed_2_bin.11,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.496049096,30.98055906,0.025713455,NODE_24881_length_3314_cov_43.698681_pgaptmp_001175,201005_12_DNA_sed_2_bin.11,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.85586543,11.50795509,0.032297505,NODE_26_length_67727_cov_76.082767_pgaptmp_001401,201005_12_DNA_sed_2_bin.11,cobaltochelatase subunit CobN,cobN,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.789931215,25.23185514,0.005854922,NODE_213_length_35936_cov_82.288621_pgaptmp_001014,201005_12_DNA_sed_2_bin.11,aldehyde dehydrogenase family protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
1.554410992,9.826527744,0.012281195,NODE_26_length_67727_cov_76.082767_pgaptmp_001390,201005_12_DNA_sed_2_bin.11,cobalt-precorrin 5A hydrolase,cbiG,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.723373893,24.56235413,0.005854922,NODE_24881_length_3314_cov_43.698681_pgaptmp_001179,201005_12_DNA_sed_2_bin.11,flagellin,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
-0.988635188,14.60585334,0.027903201,NODE_401_length_28366_cov_68.011656_pgaptmp_001815,201005_12_DNA_sed_2_bin.11,heavy metal translocating P-type ATPase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
1.784817768,6.802642893,8.12E-05,NODE_1962_length_14369_cov_67.740534_pgaptmp_000887,201005_12_DNA_sed_2_bin.11,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.975647999,7.30212465,0.028171925,NODE_1891_length_14623_cov_76.336697_pgaptmp_000857,201005_12_DNA_sed_2_bin.11,class I fructose-bisphosphate aldolase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
1.069536617,7.103671399,0.018675125,NODE_119_length_44114_cov_69.970880_pgaptmp_000292,201005_12_DNA_sed_2_bin.11,glycerol-3-phosphate dehydrogenase subunit GlpB,glpB,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
2.091153114,4.663587043,0.037864117,NODE_26_length_67727_cov_76.082767_pgaptmp_001391,201005_12_DNA_sed_2_bin.11,SAM-dependent methyltransferase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
2.097696128,3.438048398,0.000834405,NODE_26_length_67727_cov_76.082767_pgaptmp_001392,201005_12_DNA_sed_2_bin.11,precorrin-3B C(17)-methyltransferase,cobJ,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,NA,NA
0.35181949,116.9904759,0.042710877,NODE_1374_length_23853_cov_8.538995_pgaptmp_000396,201007_15_DNA_mat_2_top_bin.53,DNA-directed RNA polymerase subunit A',NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,CBA1134,NA
-0.333646025,241.033986,0.023707247,NODE_2279_length_18073_cov_6.822289_pgaptmp_001025,201007_15_DNA_mat_2_top_bin.53,choline dehydrogenase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,CBA1134,NA
0.495608731,92.00481321,0.002235806,NODE_18641_length_4053_cov_6.994747_pgaptmp_000788,201007_15_DNA_mat_2_top_bin.53,hypothetical protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,CBA1134,NA
0.329080125,45.17891765,0.042710877,NODE_7282_length_8401_cov_7.706326_pgaptmp_002082,201007_15_DNA_mat_2_top_bin.53,toprim domain-containing protein,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,CBA1134,NA
0.599557155,29.20784764,0.019483425,NODE_10817_length_6220_cov_6.539984_pgaptmp_000090,201007_15_DNA_mat_2_top_bin.53,2-isopropylmalate synthase,NA,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,CBA1134,NA
